Category,Count,ATC,ATC_A,ATC_B,ATC_C,ATC_D,ATC_G,ATC_H,ATC_J,ATC_L,ATC_M,ATC_P,ATC_R,ATC_S,ATC_V,statin,ezetimibe,pcsk9,fibrate,bas,niacin,n3fa,glm,insulin,arb,anticoag,diuretic,ccb,bb,antiplatelet,acei,thr,anti_ht
aspirin,73127,A01AD05|B01AC06|N02BA01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
aspirin 75mg tablet,3598,A01AD05|B01AC06|N02BA01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
aspirin+codeine,11,N02AJ07|A01AD05|B01AC06|N02BA01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
aspirin+codeine 300mg/8mg tablet,1,N02AJ07|A01AD05|B01AC06|N02BA01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
aspirin+glycine 500mg/133mg dispersible tablet,5,B01AC06|A01AD05|B01AC06|N02BA01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
aspirin+methocarbamol 325mg/400mg tablet,1,M03BA03|A01AD05|B01AC06|N02BA01,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,
aspirin+metoclopramide 325mg/5mg effervescent tablet,2,A01AD05|B01AC06|N02BA01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
aspirin+papaveretum 500mg/7.71mg dispersible tablet,2,A01AD05|B01AC06|N02BA01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
aspro clear maximum strength soluble tablet,16,N02BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astemizole,3,R06AX11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
atarax 10mg tablet,69,N05BB01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atazanavir,47,J05AE08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
atazanavir 100mg capsule,1,J05AE08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
atazanavir 150mg capsule,3,J05AE08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
atazanavir 200mg capsule,3,J05AE08,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
atenix 25mg tablet,1,A08AA10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atenixco 50mg/12.5mg tablet,1,C07CB03,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,
atenolol,20616,C07AB03,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
atenolol+bendrofluazide,34,C07BB03,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
atenolol+bendroflumethiazide,107,C07BB03,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
atenolol+chlortalidone,12,C07BB03,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
atenolol+chlorthalidone,3,C07BB03,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
atenolol+co-amilozide,3,C03EA01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
atenolol+nifedipine 50mg/20mg m/r capsule,7,CO7FB,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
atensine 2mg tablet,1,N05BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ativan 1mg tablet,3,N05BA06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atomoxetine,5,N06BA09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atorvastatin,22359,C10AA05,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
atovaquone,3,P01AX06,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
atovaquone+proguanil hydrochloride,1,P01BB51,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
atropine,27,A03BA01|S01FA01,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
atrovent 20micrograms inhaler,527,R03BB01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
audicort ear drops,2,S02CA04,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
augmentin 1.2g injection (pdr for recon),2,J01CR02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
augmentin 125mg/31mg/5ml s/f suspension,4,J01CR02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
augmentin 250mg/62mg/5ml s/f suspension,1,J01CR02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
augmentin 375mg s/f dispersible tablet,2,J01CR02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
augmentin 375mg tablet,25,J01CR02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
augmentin 625mg tablet,21,J01CR02,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
auranofin,2,"	M01CB03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aureocort cream,5,D07CB01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
aureomycin 250mg capsule,1,D06AA02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
avandamet 1mg / 500mg tablet,205,A10BD03,1,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
avandia 4mg tablet,72,A10BG02,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
aveeno bath oil,6,D05AA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
aveeno cream,87,D05AA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
aveeno lotion,17,D05AA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
aveeno oilated bath additive,1,D05AA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
avloclor 250mg tablet,14,P01BA01,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
avoca 75% applicator,1,D08AL01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
avodart 500micrograms capsule,120,G04CB02,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
avomine 25mg tablet,1,R06AD02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
avonex 30micrograms/0.5ml prefilled syringe,31,L03AB07,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
avonex 6million iu injection (pdr for recon)+solvent,5,L03AB07,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
avonex 6million iu/0.5ml prefilled syringe,2,L03AB07,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
axid 150mg capsule,2,A02BA04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axsain cream,14,M02AB01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
azapropazone,2,M01AX04,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
azatadine,2,R06AX09,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
azathioprine,1163,L04AX01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
azelaic acid,34,D10AX03,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
azelastine,101,R01AC03|R06AX19|S01GX07,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
azithromycin,189,J01FA10|S01AA26,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
azopt 10mg/ml eye drops,266,S01EC04,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
azt - azathioprine,19,L04AX01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
b12 - cyanocobalamin prep,142,B03BA01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b12 - hydroxocobalamin prep,455,B03BA03|V03AB33,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
baclofen,586,M03BX01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
baclospas 10mg tablet,1,M03BX01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
bactrim 480mg tablet,1,J01EC01,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
bactroban 2% cream,6,R01AX06,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bactroban 2% nasal ointment,15,D06AX09,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
bactroban ointment,12,D06AX09,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
baking soda,1,B05CB04|B05XA02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balmosa cream,13,M02A,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
balneum bath oil,50,D02A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
balneum plus bath oil,27,D02A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
balneum plus cream,40,D02A,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
balsalazide disodium,153,A07EC04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bambuterol,4,R03CC12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
baratol 25mg tablet,1,C02CA02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bath e45 bath oil,6,D02AC,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
bazuka gel,1,D11AF,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc-500 with iron tablet,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beclamide,30,N03AX30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beclazone 50 inhaler,1442,R03BA01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
beclo-aqua 50 nasal spray,73,R01AD01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
becloforte 250micrograms inhaler,288,R03BA01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
beclometasone,4824,A07EA07|D07AC15|R01AD01|R03BA01,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
beclometasone dipropionate+salbutamol,386,R03AK13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
beclomethasone,2132,A07EA07|D07AC15|R01AD01|R03BA01,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
beclomethasone dipropionate+salbutamol,124,R03AK13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
beclomist 50micrograms nasal spray,167,R01AD01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
becodisks 100micrograms disks+diskhaler,52,R03BA01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
beconase 50micrograms nasal spray,3623,R01AD01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
becosym tablet,2,A11DA01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
becotide 50 inhaler,3277,R03BA01,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bedranol 10mg tablet,64,C07AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
beechams all in one syrup,4,N02BE51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beechams powder,20,N02BA51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belladonna paediatric 0.05mg/5ml liquid,2,A03CB02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bellocarb tablet,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benadon 20mg tablet,5,A11HA02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benadryl 25mg capsule,72,R06AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
benadryl allergy relief 8mg capsule,106,R06AX18,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
benadryl one a day 10mg tablet,59,R06AE07,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
benadryl plus capsule,39,R01BA52,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
benadryl skin allergy relief cream,6,R06AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bendogen 10mg tablet,1,C02CC01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
bendrofluazide,3192,C03AA01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
bendrofluazide+potassium 2.5mg/7.7mmol m/r tablet,66,C03AB01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
bendroflumethiazide,30104,C03AA01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
bendroflumethiazide+potassium 2.5mg/7.7mmol m/r tablet,122,C03AB01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
benerva 3mg tablet,3,A11DA01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benorilate,1,N02BA10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benoxyl 5 cream,1,D10AE01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
benperidol,4,N05AD07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benylin cough & congestion syrup,13,R06AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
benylin day & night tablet,6,R06AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
benylin decongestant syrup,6,R06AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
benylin four flu tablet,2,R06AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
benylin with codeine syrup,1,R06AA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
benzalkonium chloride+dimethicone 350 0.1/22% cream,5,R02AA16,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
benzamycin topical gel,1,D10AF52,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzathine penicillin,1,J01CE10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
benzatropine,2,N04AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzhexol,7,N04AA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoxazocine,5,N02BG06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoyl perox+potassium hydroxyquinoline sulphate 5/0.5% crm,1,D10AE01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoyl peroxide product,16,D10AE01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoyl peroxide+clindamycin,5,D10AE01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoyl peroxide+miconazole nitrate,1,D10AE01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzoyl peroxide+miconazole nitrate 5%/2% cream,2,D10AE01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
benztropine,2,N04AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzydamine,52,A01AD02|G02CC03|M01AX07|M02AA05|R02AX03,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,
berkamil 5mg tablet,1,C03DB01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
berocca effervescent tablet,122,A11AA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berotec 100 inhaler,2,R03CC04,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
beta-adalat capsule,24,C07FB03,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
beta-adrenoceptor blocking drug,2,C07AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
beta-blocker,99,C07,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
betacap scalp application,65,D07AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta-cardone 40mg tablet,15,C07AA07,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
beta-carotene product,62,A11CA02|D02BB01,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
betaferon 300micrograms injection (pdr for recon)+diluent,34,L03AB08,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
betaferon 9.6 million iu injection (pdr for recon)+diluent,4,L03AB08,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
betagan eye drops,70,S01ED03,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
betahistine,1670,N07CA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
betaloc 50mg tablet,5,C07AB02,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
betamethasone,869,A07EA04|C05AA05|D07AC01|D07XC01|H02AB01|R01AD06|R03BA04|S01BA06|S01CB04|S02BA07|S03BA03,1,,1,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,
betamethasone+calcipotriol,67,D05AX52,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
betamethasone+clioquinol,3,D05AX52,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
betamethasone+clotrimazole,8,"	D01AC20|S01CA05|S03CA06",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
betamethasone+fusidic acid,25,D07CC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
betamethasone+neomycin sulphate,8,D07CC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
betamethasone+salicylic acid,11,D07XC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
betanidine,2,C02CC01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
beta-prograne 160mg m/r capsule,8,C07AA05,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
betaxolol,33,C07AB05|S01ED02,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
bethanechol,1,N07AB02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bethanidine,7,C02CC01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
betim 10mg tablet,2,C07AA06,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
betnelan 500mcg tablet,3,S03BA03,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
betnesol 0.1% eye/ear/nose drops,155,S01BA06|S02BA07|S03BA03,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
betnesol 500mcg soluble tablet,52,H02AB01,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
betnovate compound suppository,1,D07AC,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
betnovate cream,1820,D07AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
betoptic 0.5% eye drops,59,S01ED02,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
bettamousse 0.12% foam,10,D07AC01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
bexarotene,2,L01XF03,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
bextra 40mg tablet,1,M01AH03,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
bezafibrate,538,C10AB02,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
bezafibrate product,24,C10AB02,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
bezalip 200mg tablet,50,C10AB02,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
bezalip-mono 400mg m/r tablet,92,C10AB02,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
bicalutamide,117,L02BB03,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
bicarb,3,B05XA02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicarbonate of soda,11,B05CB04|B05XA02,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bi-carzem sr 60mg m/r capsule,2,C08DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
bifonazole,1,D01AC10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
bimatoprost,428,S01EE03,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
binovum tablet,18,G03AA05,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
biogastrone 50mg tablet,1,N0A5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biophylline 350mg m/r tablet,1,R03DA04,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
biosynthetic human growth hormone,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biotene oralbalance oral gel,70,A11HA05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bioxtra oral gel,15,N01BA05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bisacodyl,240,A06AB02|A06AG02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bismodyne ointment,1,D08AE01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
bismuth subgallate compound suppository bp,1,A07BB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bisolvon 8mg tablet,4,R05CB02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bisoprolol,9787,C07AB07,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
bisoprolol fumarate+hydrochlorothiazide 10mg/6.25mg tablet,395,C07BB07,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
bondronat 50mg tablet,17,M05BA06,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
bonefos 400mg capsule,30,M05BA02,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
bonjela 8.7% oral gel,4,A01AD11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bosentan,6,C02KX01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bran,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brevinor tablet,43,G03AA05,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
brevoxyl 4% cream,2,D10AE01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
brexidol 20mg tablet,19,M01AC01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
bricanyl 250mcg inhaler,1221,R03AC03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bricanyl 5mg tablet,41,R03CC03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bricanyl compound tablet,6,R03CC03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bricanyl expectorant elixir,2,R03CC03,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
brimonidine tartrate,161,D11AX21|S01EA05,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
brinaldix k tablet,1,C03BA03,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
brinzolamide,258,S01EC04,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
brocadopa 125mg capsule,1,N04BA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brolene cool eyes eye drops,5,S01AX15,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
brol-eze eye drops,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromazepam,5,N05BA08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromelains,112,D03BA03|M09AB03,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
bromine complexes,2,N05CM11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bromocriptine,28,G02CB01|N04BC01,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
bronchilator inhaler,12,R03CC02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bronchodil 500micrograms inhaler,1,R07AX31,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
brufen 200mg tablet,87,C01EB16|M01AE01|R02AX02,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
buccastem 3mg tablet,128,N05AB04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
budenofalk 3mg capsule,3,R03BA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
budesonide,1148,A07EA06|D07AC09|R01AD05|R03BA02,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
budesonide 0.025% cream,1,R03BA02,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
budesonide product,154,A07EA06|D07AC09|R01AD05|R03BA02,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
budesonide+eformoterol,36,R03AK07,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
budesonide+formoterol,367,R03AK07,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
bumetanide,443,C03CA02,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
bumetanide+potassium 500micrograms/7.7mmol m/r tablet,1,C03CA02,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
buprenorphine,362,N02AE01|N07BC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bupropion,14,N06AX12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
burinex 1mg tablet,8,C03CA02,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
burinex a tablet,15,C03CA02,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
burinex k m/r tablet,4,C03CA02,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
buscopan 10mg tablet,553,A03BB01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buserelin,8,L02AE01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
buspar 5mg tablet,12,N05BE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buspirone,72,N05BE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
busulphan,1,L01AB01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
butamidum,1,V04CA01,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
bzt - bendrofluazide,64,C03AA01,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
cabaser 1mg tablet,1,N04BC06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabergoline,130,G02CB03|N04BC06,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
cabren 2.5mg m/r tablet,23,C08CA02,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
cacit 1.25g effervescent tablet,12,A12AA04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cacit 500mg effervescent tablet,32,A12AA04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cacit d3 granules,72,A12AX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cafergot tablet,22,N02CA52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calamine,1,D02AB,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
calceos chewable tablet,356,A12AX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcette 500mg chewable tablet,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calchan mr 10mg m/r tablet,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcicard 60mg tablet,19,C08DB01,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
calcichew 1.25g chewable tablet,1329,A12AA04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcichew d3 tablet,5625,A12AX,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcichew forte 2.5g chewable tablet,540,A12AA04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcidrink 2.52g/sachet granules,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calciferol,89,A11CC05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calciferol 250micrograms tablet,8,A11CC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"calciferol 7.5mg(300,000units)/1ml injection",1,A11CC01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
